# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 18744
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 18744
DATA ascii
11.1812 -2.931246 -1.89908
5.051565 -2.842951 -1.808795
5.636528 -2.857725 -1.812132
6.377256 -2.847804 -1.828391
7.254826 -2.8563 -1.847425
8.294845 -2.883702 -1.866631
8.315611 -2.837351 -1.867602
9.57535 -2.854069 -1.882534
11.1778 -2.860287 -1.895621
4.169637 -2.70986 -1.809971
4.584531 -2.748134 -1.8061
4.616353 -2.7233 -1.811062
5.088749 -2.777949 -1.809093
5.114266 -2.723893 -1.8081
5.680911 -2.762446 -1.811378
5.700063 -2.737131 -1.813143
6.41842 -2.744839 -1.827463
7.284138 -2.771359 -1.846626
7.314 -2.721503 -1.849085
8.337344 -2.750482 -1.866112
9.609365 -2.744549 -1.882904
11.17406 -2.759111 -1.890974
19.57522 -2.74065 -1.844091
3.082579 -2.633433 -1.805097
3.111277 -2.602354 -1.805911
4.191281 -2.67273 -1.809287
4.213583 -2.626813 -1.807234
4.655605 -2.646628 -1.809576
5.158866 -2.653004 -1.810185
5.737558 -2.652152 -1.812513
6.459122 -2.651711 -1.827868
7.321306 -2.652111 -1.845051
8.353545 -2.649546 -1.862785
9.595084 -2.618627 -1.873924
9.610806 -2.668926 -1.879294
11.18763 -2.658399 -1.889245
19.66351 -2.669095 -1.851336
19.70535 -2.611755 -1.854495
3.124464 -2.589364 -1.806724
4.263436 -2.564573 -1.810911
4.31832 -2.522411 -1.820231
4.685485 -2.591864 -1.809301
4.714166 -2.546499 -1.810475
5.189993 -2.58386 -1.809093
5.206092 -2.526561 -1.805717
5.775981 -2.549216 -1.810386
6.477043 -2.550094 -1.822296
7.329121 -2.548275 -1.838572
8.355094 -2.54406 -1.856444
9.58579 -2.543431 -1.868555
11.19679 -2.558245 -1.886975
4.756589 -2.463613 -1.810048
5.232058 -2.446063 -1.802242
5.794357 -2.468234 -1.805976
5.805156 -2.412894 -1.802668
6.496013 -2.460499 -1.818472
6.507811 -2.411187 -1.816826
7.348562 -2.447752 -1.835252
8.367835 -2.441409 -1.852805
9.59331 -2.454824 -1.865716
9.600266 -2.400735 -1.864482
11.20777 -2.45804 -1.885138
13.28451 -2.453746 -1.8986
